,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,0,Location,Address,Link,Website Location,Page
134,2 6 5 - 2 1 - T A M A N   L A N G   I N D A H,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-21,",-,265/2313/2002(12),6-Dec-01,5-Dec-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-21,8,10
135,2 6 5 - 2 2 - M E R U   V A L L E Y   G O L F   R E S O R T,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-22,",-,265-22/1051/2003(05),20-May-02,19-May-03,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-22,8,11
136,2 6 5 - 2 3 - H A L A M A N   M E R U   I M P I A N,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-23,",SIAP DENGAN: CFO PENUH,265-23/1497/2010(08),13-Aug-09,12-Aug-10,"RM145,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-23,8,12
137,2 6 5 - 2 4 - M E R U   S A U J A N A,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-24,",SIAP DENGAN: CCC PENUH,265-24/367/2013(02),17-Feb-12,16-Feb-13,"RM1,280,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-24,8,13
138,2 6 5 - 2 5 - H A L A M A N   M E R U   I M P I A N,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-25,",SIAP DENGAN: CFO PENUH,265-25/2165/2010(10),27-Oct-09,26-Oct-10,"RM190,800.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-25,8,14
139,2 6 5 - 2 6 - T A M A N   M E R U   M E N T A R I,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-26,",SIAP DENGAN: CCC PENUH,265-26/08-2021/0777(P),24-Aug-19,23-Aug-21,"RM338,800.00",167mps,,,,,,,,,,,,"[""4.688420, 101.082288""]",,https://teduh.kpkt.gov.my/project-swasta/265-26,8,15
140,2 6 5 - 2 7 - T A M A N   M E R U   M E N T A R I,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-27,",SIAP DENGAN: CCC PENUH,265-27/01-2023/0487(A)-(L),12-Jan-22,11-Jan-23,"RM349,490.00",167mps,,,,,,,,,,,,"[""4.690810, 101.083066""]",,https://teduh.kpkt.gov.my/project-swasta/265-27,8,16
141,2 6 5 - 2 8 - T A M A N   M E R U   M E N T A R I,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-28,",SIAP DENGAN: CCC PENUH,265-28/07-2022/0400(P),17-Jul-20,16-Jul-22,"RM405,800.00",186mps,,,,,,,,,,,,"[""4.688202, 101.082125""]",,https://teduh.kpkt.gov.my/project-swasta/265-28,8,17
142,2 6 5 - 3 - T A M A N   P E R T A M A   F A S A   2 2,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-3,",-,265/142/1993(02),10-Feb-92,9-Feb-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-3,8,18
143,2 6 5 - 4 - T A M A N   S R I   D E S A,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-4,",-,265/1020/1997(09),9-Sep-96,8-Sep-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-4,8,19
144,2 6 5 - 5 - T A M A N   P E R T A M A   F A S A   2 6,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-5,",-,265/1162/1994(10),21-Oct-93,20-Oct-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-5,9,2
145,2 6 5 - 6 - T A M A N   P E R T A M A   ( F A S A   2 7 ),KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-6,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-6,9,3
146,3 0 3 - 1 - T A M A N   M E L O R   J A Y A   F A S A   1,BUKIT GAMBIR COMPANY SDN. BERHAD,303,303/08-2025/0657(A),29-Aug-22,28-Aug-25,69519891,maharani@binaik.com.my,www.binaik.com.my,"303-1,",SIAP DENGAN: CCC PENUH,303-1/08-2022/0408(A)-(L),29-Aug-21,28-Aug-22,"RM42,000.00",77mps - 180mps,,,,,,,,,,,,"[""2.211732, 102.663027""]",,https://teduh.kpkt.gov.my/project-swasta/303-1,9,4
147,3 0 3 - 2 - T A M A N   M E L O R   J A Y A,BUKIT GAMBIR COMPANY SDN. BERHAD,303,303/08-2025/0657(A),29-Aug-22,28-Aug-25,69519891,maharani@binaik.com.my,www.binaik.com.my,"303-2,",BERJALAN LANCAR,303-2/07-2025/0861(N)-(L),28-Jul-23,27-Jul-25,"RM140,000.00",96mps - 180mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/303-2,9,5
148,3 0 3 - 3 - T A M A N   M E L O R   J A Y A,BUKIT GAMBIR COMPANY SDN. BERHAD,303,303/08-2025/0657(A),29-Aug-22,28-Aug-25,69519891,maharani@binaik.com.my,www.binaik.com.my,"303-3,",BERJALAN LANCAR,303-3/08-2025/0961(N)-(L),24-Aug-23,23-Aug-25,"RM923,000.00",262mps - 324mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/303-3,9,6
149,3 1 8 - 1 - T A M A N   B U K I T   C H E R A S,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-1,",-,318/1269/1999(08),29-Aug-98,28-Aug-99,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-1,9,7
150,3 1 8 - 1 9 - T A M A N   S U R I A,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-19,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-19,9,8
151,3 1 8 - 2 - S E R I   B E R I N G I N,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-2,",SIAP DENGAN: CFO PENUH,318-2/1226/2008(06),13-Jun-07,12-Jun-08,"RM1,700,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-2,9,9
152,3 1 8 - 2 0 - D E S A   T U N K U,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-20,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-20,9,10
153,3 1 8 - 2 3 - T A M A N   M E L A T I   ( P 2 3 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-23,",-,318/231/1993(02),28-Feb-92,20-Feb-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-23,9,11
154,3 1 8 - 2 4 - T A M A N   S R I   L A R K I N   ( P 2 4 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-24,",-,318/44/1986(01),10-Jan-85,9-Jan-86,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-24,9,12
155,3 1 8 - 2 5 - T A M A N   B U K I T   C H E R A S   ( P 2 5 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-25,",-,318/756/1986(10),23-Oct-85,22-Oct-86,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-25,9,13
156,3 1 8 - 2 6 - T A M A N   S R I   H I J A U   ( P 2 6 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-26,",-,318/831/1986(11),28-Nov-85,27-Nov-86,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-26,9,14
157,3 1 8 - 2 7 - T A M A N   S E G A M B U T   ( P 2 7 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-27,",-,318/27/1987(01),17-Jan-86,16-Jan-87,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-27,9,15
158,3 1 8 - 2 8 - T A M A N   K U A L A   K R A I   ( P 2 8 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-28,",-,318/285/1987(04),29-Apr-86,28-Apr-87,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-28,9,16
159,"3 1 8 - 2 9 - B U K I T   D A M A N S A R A   N 3 , N 4 , N 5",SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-29,",-,318/353/1993(03),26-Mar-92,25-Mar-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-29,9,17
160,3 1 8 - 3 - T A M A N   M E L A T I,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-3,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-3,9,18
161,3 1 8 - 3 1 - S U N G A I   D U A   P U L A U   P I N A N G   F . 3 A - B,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-31,",-,318/399/1988(07),13-Jul-87,12-Jul-88,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-31,9,19
162,3 1 8 - 3 2 - D E S A   B I S T A R I,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-32,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-32,10,2
163,3 1 8 - 3 3 - B A N D A R   T U N   R A Z A K,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-33,",-,318-33/2012/2003(10),23-Oct-02,22-Oct-03,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-33,10,3
164,3 1 8 - 3 4 - A L A M   S U T E R A,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-34,",SIAP DENGAN: CCC PENUH,318-34/11-2017/02965(P),25-Nov-16,24-Nov-17,"RM545,000.00",0mps - 259mps,,,,,,,,,,,,"[""3.055092, 101.659986""]",,https://teduh.kpkt.gov.my/project-swasta/318-34,10,4
165,"3 1 8 - 3 5 - A L A M   D A M A I ,   C H E R A S   F A S A   7 A 1   &   7 A 2",SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-35,",SIAP DENGAN: CCC PENUH,318-35/2375/2012(11),15-Nov-11,14-Nov-12,"RM750,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-35,10,5
166,"3 1 8 - 3 6 - A L A M   D A M A I ,   C H E R A S   F A S A   9 D 4",SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-36,",SIAP DENGAN: CCC PENUH,318-36/07-2015/01803(P),2-Jul-14,1-Jul-15,"RM730,888.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-36,10,6
167,3 1 8 - 3 7 - A L A M   D A M A I   F A S A   3 B 2,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-37,",PERMIT TELAH DIBATALKAN,318-37/02-2021/01552(P),4-Feb-20,3-Feb-21,"RM443,800.00",0mps,,,,,,,,,,,,"[""3.065156, 101.735858""]",,https://teduh.kpkt.gov.my/project-swasta/318-37,10,7
168,3 1 8 - 3 8 - R E S I D E N S I   S U T E R A,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-38,",BERJALAN LANCAR,318-38/06-2024/1028(R)-(S),2-Jun-23,1-Jun-24,"RM300,000.00",0mps - 101mps,,,,,,,,,,,,"[""3.050461, 101.665844""]",,https://teduh.kpkt.gov.my/project-swasta/318-38,10,8
169,3 1 8 - 4 - A L A M   D A M A I,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-4,",BERJALAN LANCAR,318-4/329/2009(03),6-Mar-08,5-Mar-09,"RM42,000.00",0mps,,,,,,,,,,,,"[""3.060233, 101.741603""]",,https://teduh.kpkt.gov.my/project-swasta/318-4,10,9
170,3 1 8 - 5 - T A M A N   M E L A T I,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-5,",-,318/2091/2001(12),13-Dec-00,12-Dec-01,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-5,10,10
171,3 1 8 - 6 - L O T   2 4 8   D A N   2 6 2,SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-6,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-6,10,11
172,3 1 8 - 9 - T A M A N   S R I   P E N G K A L A N   F 3 C   ( P 9 ),SYARIKAT PERUMAHAN PEGAWAI KERAJAAN SENDIRIAN BERHAD,318,318/06-2028/0780(R),2-Jun-23,1-Jun-28,380829542,mdzulkarnain.ahmad@gmail.com,-,"318-9,",-,318/691/1986(10),3-Oct-85,2-Oct-86,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/318-9,10,12
173,3 2 - 1 - M E N A R A   B A N G S A R,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-1,",-,32/182/1997(02),13-Feb-96,12-Feb-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-1,10,13
174,3 2 - 1 0 - L 0 T   5 0 3 5 8     M U K I M   K U A L A   L U M P U R,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-10,",-,32-10/2272/2004(11),24-Nov-03,23-Nov-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-10,10,14
175,3 2 - 1 1 - P A L M Y R A   B A N G S A R,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-11,",-,32-11/990/2005(06),1-Jul-04,30-Jun-05,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-11,10,15
176,3 2 - 1 2 - I N A R A,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-12,",SIAP DENGAN: CFO PENUH,32-12/2786/2006(12),17-Dec-05,16-Dec-06,"RM1,950,600.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-12,10,16
177,3 2 - 1 3 - O N E   M E N E R U N G,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-13,",SIAP DENGAN: CFO PENUH,32-13/1106/2010(06),5-Jun-09,4-Jun-10,"RM2,591,200.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-13,10,17
178,3 2 - 1 4 - S E R A I   B U K I T   B A N D A R A Y A,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-14,",SIAP DENGAN: CCC PENUH,32-14/05-2017/01935(P),20-May-16,19-May-17,"RM7,017,400.00",459mps - 477mps,,,,,,,,,,,,"[""3.141081, 101.660326""]",,https://teduh.kpkt.gov.my/project-swasta/32-14,10,18
179,3 2 - 1 5 - R E S I D E N S I   M E N E R U N G   1 1 1,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-15,",BERJALAN LANCAR,32-15/08-2024/1317(A)-(S),18-Aug-23,17-Aug-24,"RM2,255,150.00",0mps,,,,,,,,,,,,"[""3.144156, 101.664008""]",,https://teduh.kpkt.gov.my/project-swasta/32-15,10,19
180,3 2 - 2 - B A N G S A R   P U T E R I   C O N D O M I N I U M,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-2,",-,32/1034/1994(09),21-Sep-93,20-Sep-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-2,11,2
181,3 2 - 3 - T A M A N   S E R D A N G   R A Y A,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-3,",-,32-3/65/2004(01),15-Jan-03,14-Jan-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-3,11,3
182,3 2 - 4 - V E R O N A   T O W N H O U S E   F A S A   I   &   2,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-4,",-,32/183/1997(02),13-Feb-96,12-Feb-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-4,11,4
183,3 2 - 5 - T A M A N   S E R D A N G   R A Y A   F A S A   I & I I,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-5,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-5,11,5
184,3 2 - 6 - S R I   P E N A G A,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-6,",-,32/697/1998(06),12-Jun-97,11-Jun-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-6,11,6
185,3 2 - 7 - L O T   5 0 3 5 6   ( S B G )   M K .   D A N   D A E R A H   K . L U M P U R,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-7,",-,32/864/1990(10),24-Oct-89,23-Oct-90,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-7,11,7
186,3 2 - 8 - T A M A N   B A N D A R   J A Y A,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-8,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-8,11,8
187,3 2 - 9 - S R I   P E N A G A,BRDB DEVELOPMENTS SDN. BHD.,32,32/08-2028/1034(A),18-Aug-23,17-Aug-28,-,-,-,"32-9,",-,32/1094/1994(10),7-Oct-93,6-Oct-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/32-9,11,9
188,3 4 5 - 1 0 - T A M A N   O U G   ( P T   1 3 7 9 4 - P T 1 3 7 9 7   M U K I M   P E T A L I N G ),FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-10,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-10,11,10
189,"3 4 5 - 1 1 - L O T   2 7 0 2 - 2 7 2 2   , 3 3 5 0 & 3 3 5 1   M U K I M   G L U G O R",FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-11,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-11,11,11
190,3 4 5 - 1 2 - T A R A T A K   M U H I B B A H,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-12,",-,345-12/2476/2004(11),10-Nov-03,9-Nov-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-12,11,12
191,3 4 5 - 1 3 - T A M A N   F A B E R   F A S A   I I,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-13,",-,345/1139/1998(08),26-Aug-97,25-Aug-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-13,11,13
192,3 4 5 - 1 4 - T A M A N   O U G,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-14,",-,345/403/1998(03),31-Mar-97,30-Mar-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-14,11,14
193,3 4 5 - 1 5 - T I A R A   F A B E R,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-15,",SIAP DENGAN: CFO PENUH,345-15/558/2002(08),27-Mar-02,25-Aug-02,"RM249,990.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-15,11,15
194,3 4 5 - 1 6 - D A N A U   M U R N I   K O N D O M I N I U M,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-16,",SIAP DENGAN: CFO PENUH,345-16/2383/2005(12),14-Dec-04,13-Dec-05,"RM110,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-16,11,16
195,3 4 5 - 1 7 - D A N A U   V I L L A,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-17,",SIAP DENGAN: CFO PENUH,345-17/2356/2007(05),14-Nov-06,24-May-07,"RM720,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-17,11,17
196,3 4 5 - 1 8 - C A S A   D E S A   K O N D O M I N I U M,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-18,",SIAP DENGAN: CFO PENUH,345-18/2698/2008(12),27-Dec-07,26-Dec-08,"RM210,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-18,11,18
197,3 4 5 - 1 9 - A R M A D A   V I L L A,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-19,",SIAP DENGAN: CCC PENUH,345-19/677/2013(04),15-Apr-12,14-Apr-13,"RM2,350,800.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-19,11,19
198,3 4 5 - 2 0 - V I L A   P R I M A,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-20,",SIAP DENGAN: CCC PENUH,345-20/2345/2012(12),16-Dec-11,15-Dec-12,"RM3,085,800.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-20,12,2
199,3 4 5 - 2 1 - K O N D O M I N I U M   F A B E R   A N T A R A,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-21,",SIAP DENGAN: CCC PENUH,345-21/07-2017/01926(P),2-Jul-16,1-Jul-17,"RM322,800.00",137mps,,,,,,,,,,,,"[""3.169356, 101.725944""]",,https://teduh.kpkt.gov.my/project-swasta/345-21,12,3
